kabupaten_kota,kategori,RLS,PDRB_perkapita_ribu,persen_miskin,kepadatan_penduduk
Cilacap,Kabupaten,7.39,65954.48,10.99,864
Banyumas,Kabupaten,7.87,37598.53,12.53,1314
Purbalingga,Kabupaten,7.34,30393.79,14.99,1275
Banjarnegara,Kabupaten,6.86,25964.62,14.9,915
Kebumen,Kabupaten,7.86,25590.27,16.34,1048
Purworejo,Kabupaten,8.46,29416.54,11.33,729
Wonosobo,Kabupaten,6.89,25646.75,15.58,899
Magelang,Kabupaten,7.82,30571.68,10.96,1178
Boyolali,Kabupaten,8.09,39202.29,9.81,994
Klaten,Kabupaten,9.27,39921.17,12.28,1839
Sukoharjo,Kabupaten,9.84,49879.11,7.58,1890
Wonogiri,Kabupaten,7.67,35147.16,10.94,552
Karanganyar,Kabupaten,9.02,49421.8,9.79,1189
Sragen,Kabupaten,7.87,48692.59,12.87,1003
Grobogan,Kabupaten,7.28,23282.96,11.72,738
Blora,Kabupaten,7.08,35217.6,11.49,461
Rembang,Kabupaten,7.72,36550.97,14.17,636
Pati,Kabupaten,7.8,40294.88,9.31,864
Kudus,Kabupaten,9.34,138698.85,7.24,1955
Jepara,Kabupaten,8.26,31138.89,6.61,1196
Demak,Kabupaten,8.27,26615.51,12.01,1269
Semarang,Kabupaten,8.07,56710.59,7.17,1060
Temanggung,Kabupaten,7.5,33288.96,9.26,935
Kendal,Kabupaten,7.73,51632.81,9.39,1044
Batang,Kabupaten,7.07,33643.59,8.92,967
Pekalongan,Kabupaten,7.47,27905.94,9.67,1128
Pemalang,Kabupaten,6.55,21235.6,15.03,1340
Tegal,Kabupaten,7.34,26854.8,7.3,1682
Brebes,Kabupaten,6.4,28192.36,15.78,1172
Kota Magelang,Kota,11.2,89911.88,6.11,6581
Kota Surakarta,Kota,11,114802.06,8.44,11277
Kota Salatiga,Kota,11.24,84320.79,4.66,3618
Kota Semarang,Kota,10.81,146867.46,4.23,4580
Kota Pekalongan,Kota,9.29,43285.62,6.81,6873
Kota Tegal,Kota,9.24,67763.54,7.68,7238
